														
			Ro+F5:M203w Labels	Max of  High	Min of  Low	Row Labels	Sum of  Open			63	57		120	0.579710145
			31-May	119.98	114.15	31-May	118.96	TRUE	FALSE	85				
			01-Jun	117.87	114.82	01-Jun	117.06	FALSE	FALSE	86				
			02-Jun	117.56	113.8	02-Jun	115.33	FALSE	FALSE	87				
			03-Jun	119.78	116.75	03-Jun	117.12	FALSE	FALSE	88				
			06-Jun	119.83	117.63	06-Jun	119.66	FALSE	FALSE	89				
			07-Jun	120.26	117.14	07-Jun	118.33	FALSE	FALSE	90				
			08-Jun	123.18	119.44	08-Jun	120.27	TRUE	FALSE	91				
			09-Jun	122.09	120.79	09-Jun	121.27	FALSE	FALSE	92				
			10-Jun	121.73	118.33	10-Jun	120.76	FALSE	TRUE	93				
			13-Jun	122.25	117.47	13-Jun	119.61	FALSE	FALSE	94				
			14-Jun	123.68	118.15	14-Jun	122.33	TRUE	FALSE	95				
			15-Jun	118.89	114.6	15-Jun	118.01	FALSE	TRUE	96				
			16-Jun	115.73	110.43	16-Jun	112.23	FALSE	TRUE	97				
			17-Jun	114.19	106.4	17-Jun	113.02	FALSE	FALSE	98				
			20-Jun	109.14	107.13	20-Jun	107.93	FALSE	FALSE	99				
			21-Jun	111.16	108.85	21-Jun	110.04	TRUE	FALSE	100				
			22-Jun	107.29	101.53	22-Jun	102.33	FALSE	TRUE	101				
			23-Jun	107.05	103.61	23-Jun	106.64	FALSE	FALSE	102				
			24-Jun	108.58	104.9	24-Jun	105.65	FALSE	FALSE	103				
			27-Jun	110.54	106.04	27-Jun	107.44	FALSE	FALSE	104				
			28-Jun	112.22	109.62	28-Jun	110.84	TRUE	FALSE	105				
			29-Jun	114.05	109.33	29-Jun	113.27	TRUE	FALSE	106				
			30-Jun	109.61	105.1	30-Jun	108.14	FALSE	TRUE	107				
			01-Jul	109.34	106.88	01-Jul	108.55	FALSE	FALSE	108				
			04-Jul	110.77	109.45	04-Jul	109.75	TRUE	FALSE	109				
			05-Jul	108.21	97.43	05-Jul	104.24	FALSE	TRUE	110				
			06-Jul	100.38	95.1	06-Jul	97.87	FALSE	FALSE	111				
			07-Jul	104.48	99.66	07-Jul	102.86	TRUE	FALSE	112				
			08-Jul	105.24	102.51	08-Jul	104.68	TRUE	FALSE	113				
			11-Jul	104.57	101.04	11-Jul	103.45	FALSE	FALSE	114				
			12-Jul	99.99	95.41	12-Jul	99.09	FALSE	TRUE	115				
			13-Jul	97.96	94.8	13-Jul	95.9	FALSE	FALSE	116				
			14-Jul	96.85	90.56	14-Jul	92.75	FALSE	TRUE	117				
			15-Jul	99.03	96.67	15-Jul	98.05	TRUE	FALSE	118				
			18-Jul	99.62	96.97	18-Jul	98.84	FALSE	FALSE	119				
			19-Jul	100.99	96.52	19-Jul	97.66	FALSE	FALSE	120				
			20-Jul	100.72	98.16	20-Jul	99.3	FALSE	FALSE	121				
			21-Jul	97.49	95.32	21-Jul	95.99	FALSE	TRUE	122				
			22-Jul	97.66	94.56	22-Jul	95.39	FALSE	FALSE	123				
			25-Jul	96.94	94.96	25-Jul	96.28	FALSE	FALSE	124				
			26-Jul	98.57	94.76	26-Jul	98.01	TRUE	FALSE	125				
			27-Jul	98	94.3	27-Jul	96.47	FALSE	FALSE	126				
			28-Jul	99.18	96.04	28-Jul	98.8	TRUE	FALSE	127				
			29-Jul	101.88	98.34	29-Jul	99.69	TRUE	FALSE	128				
			01-Aug	95.47	92.42	01-Aug	93.62	FALSE	TRUE	129				
			02-Aug	96.47	93.17	02-Aug	94.46	FALSE	FALSE	130				
			03-Aug	96.3	90.38	03-Aug	94.4	FALSE	FALSE	131				
			04-Aug	91.01	87.55	04-Aug	89.72	FALSE	TRUE	132				
			05-Aug	90.76	87.01	05-Aug	87.14	FALSE	TRUE	133				
			08-Aug	90.89	87.44	08-Aug	88.31	FALSE	FALSE	134				
			09-Aug	92.65	89.72	09-Aug	91.44	TRUE	FALSE	135				
			10-Aug	92.43	87.66	10-Aug	90.19	FALSE	FALSE	136				
			11-Aug	95.05	92.19	11-Aug	93.31	TRUE	FALSE	137				
			12-Aug	93.51	91.16	12-Aug	92.7	FALSE	FALSE	138				
			15-Aug	89.6	86.94	15-Aug	87.18	FALSE	TRUE	139				
			16-Aug	90.31	85.73	16-Aug	88.68	FALSE	FALSE	140				
			17-Aug	89.16	86.18	17-Aug	87.09	FALSE	FALSE	141				
			18-Aug	91.03	88.62	18-Aug	89.25	TRUE	FALSE	142				
			19-Aug	91.69	88.79	19-Aug	90.07	FALSE	FALSE	143				
			22-Aug	90.51	86.28	22-Aug	87.99	FALSE	TRUE	144				
			23-Aug	94.22	91.44	23-Aug	92.21	TRUE	FALSE	145				
			24-Aug	95.16	92.79	24-Aug	93.76	FALSE	FALSE	146				
			25-Aug	95.74	92.29	25-Aug	95.57	TRUE	FALSE	147				
			29-Aug	97.37	93.76	29-Aug	94.39	FALSE	FALSE	148				
